@relation 'Reviews'
@attribute Text string
@attribute class-att {0,1}
@data
'best headset ever',1
'dont trust website expect helpful support',0
'it loudglad say plantronics 510 maintains flawless connection cell static normal use',1
'the speaker low quality making ring tones sound cheap',0
'fits comfortably came three sizes earbud tips',1
'excellent product price',1
'bad reception',0
'this product high quality chinese crap',0
'it quite comfortable ear',1
'great phone',1
'dont buy product  it fails',0
'everything product wrongfirst',0
'the pairing two devices easy barely took couple minutes i started making calls voice dialing feature',1
'this utterly confusing first caused lose couple very important contacts',0
'terrible phone holder',0
'the cutouts buttons placed perfectly',1
'i love able use one headset landline cell',1
'problem ear loops made weak material break easily',0
'not nearly good looking amazon picture makes look',0
'but despite flaws case exceptional quality well worth additional costs owning official oem product',1
'how stupid that',0
'i hear im driving car usually even put loudest setting',1
'seller shipped quickly much cheaper competitors',1
'good show samsung',1
'so i bought 10 saved alot money',1
'it always cuts makes beep beep beep sound says signal failed',0
'couldnt figure',0
'my phone sounded ok  great  ok wifes phone almost totally unintelligible understand word said it',0
'so i take battery phone put back together restart it',0
'while i managed bend leaf spring back place metal enough stress break next drop',0
'leopard print wonderfully wild',1
'works me',1
'saggy floppy piece junk',0
'much better hard plastic cases',1
'it also new problem',0
'happy far',1
'cool phone',1
'works good',1
'motorola finally got voice quality bluetooth headset right',1
'it looses connection phone even within couple feet two',0
'great would really recommend',1
'makes easier keep bluetooth im wearing it',0
'as i said abovepretty useless',0
'never got it',0
'this pair headphones worst i ever soundwise',0
' drain weak snap',0
'does charge cingular att 8525 phone',0
'you get extra minutes carry call get cut off',1
'however year fliptop started get loose wobbly eventually screen went black i receive place calls',0
'i kept catching cable seat i pull phone turn off',0
'the headset fulfills requirements i happy purchase',1
'logitech bluetooth headset 10',1
'i like fact rests lightly ear rather inside',1
'a lot websites rating good phone i',1
'i tried cables computer ipod works fine',1
'the mic joke volume quite low',0
'im returning them',0
'i maintain connection computer lap',0
'it easy turn car volume controls quite accessable',1
'i mine year christmas i bought rest family',1
'otherwise easy install use clear sound',1
'nice leather',1
'i purchase different case',0
'it joy use',1
'very much disappointed company',0
'very satisifed that',1
'it charge me',0
'this phone get 2005 i bought s710a i say wow',1
'buttons small',0
'just reading specs alone makes say wow',1
'love it great armband',1
'i really like product motorola allot clearer ear piece mic',1
'however keypads tinny i sometimes reach wrong buttons',0
'i exchanged sony ericson z500a im pretty happy decision',1
'i impressed price cases',1
'also makes easier hold to',1
'i use product motor control center lot high voltage humming equipment works great',1
'its pretty easy',1
'i cannot make calls certain places',0
'however girl complain time phone wake like normal phone does',0
'beautiful styling though',1
'this company charge restocking fee still given refund back',0
'im trying return refund',0
'i plugged find darn thing worked',0
'excellent product',1
'earbud piece breaks easily',0
'lousy product',0
'this phone tries hard everything fails ability phone',0
'it best charger i seen market yet',1
'sweetest phone',1
'oh charger seems work fine',1
'it fits securely ear hook even need used sound better directed ear canal',1
'not enough volume',0
'echo problemvery unsatisfactory',0
'could take 2 videos time quality poor',0
'waste money',0
'i going first negatively review product',0
'adapter provide enough charging current',0
'there much hype phone i assumed best mistake',0
'you also cannot take pictures case lense covered',0
'phone falls easily',0
'it work people hear i talk',0
'the text messaging feature really tricky use',0
'im really disappointed i charger work',0
'painful ear',0
'lasted one day blew up',0
'disappointed',0
'kind flops around',0
'the screen get smudged easily touches ear face',0
'what piece junk i lose calls phone',0
'item does not match picture',0
'the thing disappoint infra red port irda',0
'you answer calls unit never worked once',0
'a very very slowmoving aimless movie distressed drifting young man',0
'not sure lost  flat characters audience nearly half walked out',0
'attempting artiness black  white clever camera angles movie disappointed  became even ridiculous  acting poor plot lines almost nonexistent',0
'very little music anything speak of',0
'the best scene movie gerardo trying find song keeps running head',1
'the rest movie lacks art charm meaning if emptiness works i guess empty',0
'wasted two hours',0
'saw movie today thought good effort good messages kids',1
'a bit predictable',0
'loved casting jimmy buffet science teacher',1
'and baby owls adorable',1
'the movie showed lot florida best made look appealing',1
'the songs were the best and the muppets were so hilarious',1
'it was so cool',1
'this right case movie delivers everything almost right face',1
'it average acting main person low budget clearly see',0
'this review long overdue since i consider a tale two sisters single greatest film ever made',1
'ill put gem movie terms screenplay cinematography acting postproduction editing directing aspect filmmaking',1
'its practically perfect � true masterpiece sea faux masterpieces',1
' the structure film easily tightly constructed history cinema',1
'i think film something vitally important occurs every minute',1
'in words content level film enough easily fill dozen films',1
'how anyone right mind ask anything movie this',1
'its quite simply highest superlative form cinema imaginable',1
'yes film require rather significant amount puzzlesolving pieces fit together create beautiful picture',1
'this short film certainly pulls punches',0
'graphics far best part game',0
'this number one best th game series',1
'it deserves strong love',1
'it insane game',1
'there massive levels massive unlockable characters massive game',1
'waste money game',1
'this kind money wasted properly',1
'actually graphics good time',1
'today graphics crap',0
'as say canada this fun game aye',1
'this game rocks',1
'buy it play it enjoy it love it',1
'its pure brilliance',1
'this flick doomed conception',0
'the idea lame  take minor character mediocre pg13 film make complete nonsequel changing tone pgrated family movie',0
'i least bit interested',0
'not confirm film would unfunny generic also managed give away entire movie im exaggerating  every moment every plot point every joke told trailer',0
'but funny',0
'but even talented carrell cant save this',0
'his costars fare much better people like morgan freeman jonah hill ed helms wasted',0
'the story predictable lazy',0
'the real effects work presence animals integration scenes worst obvious bluegreenscreen work ive ever seen',0
'but whatever cost much translate quality thats sure',0
'the film succeeds despite perhaps of obviously meagre budget',1
'im glad film go obvious choice lesser film certainly would have',1
'in addition one lovely songs ever written french cancan also boasts one cutest leading ladies ever grace screen',1
'its hard fall headoverheels love girl',1
'on negative insipid enough cause regret another 2 hours life wasted front screen',0
'long whiny pointless',0
'but i recommend waiting future efforts let one go',0
'excellent cast story line performances',1
'totally believable',1
'anne heche utterly convincing',1
'sam shepards portrayal gung ho marine sobering',1
'i sat riveted tv screen',1
'all i give one resounding 9 10',1
'i think tom hanks good actor',1
'i enjoyed reading book children little',1
'i disappointed movie',0
'one character totally annoying voice gives feeling fingernails chalkboard',0
'there totally unnecessary trainroller coaster scene',0
'there absolutely warmth charm scenes characters',0
'this movie totally grates nerves',0
'the performances improved improvisation actors twice much worry about whether theyre delivering line well whether line good',0
'and quite honestly often good',0
'often dialogue really follow one line another fit surroundings',0
'it crackles unpredictable youthful energy  honestly found hard follow concentrate meanders badly',0
'there generally great things it',1
'i say theyre worth 2 hours time though',0
'the suspense builders good  cross line g pg',1
'i especially liked noncliche choices parents movies i could predict dialog verbatim writing movie made better selections',1
'if want movie thats gross gives chills great choice',1
'alexander nevsky great film',1
'he amazing film artist one important whoever lived',1
'im glad pretentious piece s planned dodge stratus big shots its gonna help movie makers restrained movie business qu�bec',0
'this first movie ive given 10 years',1
'if ever movie needed wordofmouth promote it',1
'overall film interesting thoughtprovoking',1
'plus wellpaced suited relatively short run time',1
'give one look',1
'i gave 10',1
'the wind lion well written superbly acted',1
'it true classic',1
'it actually turned pretty decent far blist horrorsuspense films go',1
'definitely worth checking out',1
'the problem script',0
'it horrendous',0
'there nothing believable all',0
'the suspense i feeling frustration retarded girls were',0
'manna from heaven terrific film predictable unpredictable time',1
'the scenes often funny occasionally touching characters evaluate lives going',1
'the cast veteran actors nostalgia trip',1
'ursula burtons portrayal nun touching funny time making fun nuns church',1
'if looking movie terrific cast good musicincluding shirley jones rendition the way you look tonight uplifting ending give one try',1
'i think disappointed',1
'frankly cotton club unfaithful kind embarrassing watch lane gere film bad',0
'the acting bad dialogs extremely shallow insincere',0
'it predictable even chick flick',0
'too politically correct',0
'very disappointing',0
'the thing really worth watching scenery house beautiful',1
'i love lane ive never seen movie lousy',0
'an hour half i wish i could bring back',0
'but terms writing fresh bold',1
'the acting helps writing along well maybe idiotsavant sister could played better real joy watch',1
'the directing cinematography quite good',0
'the movie boring i sometimes found occupied peaking paper instead watching never happened columbo movie before',0
' sometimes embarrassing i look away',0
'the directing seems pretentious',0
'the scenes ohsomature neighbourgirl misplace',0
'and generally lines plot weaker average episode',0
'then scene debated whether sack trumpeter who falsely accused murder pure horror really stupid',0
'some applause given prelude however',1
'i really liked that',1
'a great film great director',1
'the movie edge seat made somewhat afraid go car end night',1
'the music film really nice too',1
'id advise anyone go see it',1
'brilliant',1
'1010',1
'i liked movie way much',1
'my problem i thought actor playing villain low rent michael ironside',0
'it rocked world certainly must see anyone social physical outlets',1
'however make fact overall tremendously boring movie',0
'there no chemistry ben affleck sandra bullock film i understand would consider even leaving wifetobe chick supposedly knocked by',0
'there several moments movie need excruciatingly slow moving',0
'this poor remake my best friends wedding',0
'all all great disappointment',0
'i cannot believe actors agreed film',0
'i could stand even watch long fear losing iq',0
'i guess nobody network aired dribble watched putting on',0
'imdb ratings go low 1 awful time get negative numbers cases these',0
'i saw mirrormask last night unsatisfactory experience',0
'unfortunately inexperience direction meant scene scene passed little way dramatic tension conflict',0
'these central themes film handled ineptly stereotypically depth imagination',0
'all pretty pictures world cannot make piece work flawed core',0
'it hour half waste time following bunch pretty high schoolers whine cry life',0
'you cant relate them hell barely understand them',0
'this definitely cult classic well worth viewing sharing others',1
'this movie pure disaster story stupid editing worst i seen confuses incredibly',0
'the fish badly made underwater shots repeated thousand times film',0
'a truly truly bad film',0
'the acting terrible writing worse',0
'the possible way movie could redeemed would mst3k fodder',0
'i paid much',0
'also real treat see anthony quinn playing crazy horse',1
'it boring',0
'no plot whatsoever',0
'again plot all',0
'horrible',0
'worst hour half lifeoh gosh',0
'i walk theatre minutes get relief',0
'i hate movies like that',0
'yeah movie pretty much sucked',0
'there is no plot or storyline',0
'if go see movie bring pillow girlfriendboyfriend keep occupied out',0
'awful',0
'i think ive ever gone movie disliked much',0
'it good thing tickets cost five dollars i would mad id paid 750 see crap',0
'nobody identifies characters theyre cardboard cutouts stereotypes or predictably reversestereotypes',0
'this bad film bad writing good actorsan ugly cartoon crafted paul haggis people cant handle anything bold strokes storytellinga picture painted crayons',0
'crash depressing little nothing provokes emotion teaches nothing already know racism prejudice bad things',0
'still i like movie empowerment women theres enough movies like one',1
'your brain attempt shutdown part primal impulse selfpreservation',0
'i left shattered experience watching film i took good two hours fully recover',0
'this movie joins revenge boogeyman zombiez part hellish trinity horror films',0
'i certainly mean distinction good way',0
'i mean terrible way',0
'this film redeeming features',0
'everything appalling',0
'artless camerawork endlessly presents us ugliest setting imaginable ie',0
'the story beyond stupid',0
'the script is�was script',0
'the kids annoying',0
'the lead man charismafree',0
'utterly without merit level akin torture',0
'ill even say � torture',0
'maybe would reasonable explanation atrocity',0
'not pleasant voyage selfdiscovery',0
'highly unrecommended',0
'if premise sound stupid thats is',0
'yes bad',0
'nothing recommend',0
'an excellent performance ms',1
'garbo showed right bat talents could carry silent era i wanted see silent work netflix seem stocking them',1
'its also great see renowned silent screenwriter frances marion missed step going silent sound',1
'this movie suffered writing needed suspense',0
'there many close ups',0
'but movie seemed drag heroes really work freedom',0
'but movie definitely average rent',0
'youll love it',1
'this movie bad',0
'so bad',0
'the film way long',0
'this definitely one bad ones',0
'the movie i received great quality film age',1
'john wayne incredible job young movie industry',1
'his screen presence shined thought even though senior actors screen him',1
'i think must see older john wayne film',1
'i really see anyone could enjoy movie',0
'i think ive ever seen movie half boring selfindulgent piece junk',0
'it probably would better director spent movie showcasing art work really noteworthy',0
'another thing i really like character got punched face gallon blood would spew forth soon after',0
'jamie foxx absolutely is ray charles',1
'his performance simply genius',1
'he owns film spacek owned coal miners daughter quaid owned great balls fire',1
' in fact hard remember part ray charles acted played man himself',1
'ray charles legendary',1
'ray charles life provided excellent biographical material film goes well beyond another movie musician',1
'hitchcock great director',1
'ironically i mostly find films total waste time watch',0
'secondly hitchcock pretty much perfected thriller chase movie',1
'its pandering audience sabotages films',0
'hence whole story lacks certain energy',0
'the plot simply rumbles like machine desperately depending addition new scenes',0
'there usual hitchcock logic flaws',0
'mishima extremely uninteresting',0
'this chilly unremarkable movie author livingworking chilly abstruse culture',0
'the flat reenactments hold attention emotionally adrift stagy',0
'and rest sits awful soldiers singing songs masculinity pledge to hairsplitting purity admiration swords etc',0
'he bore pieces kill momentum movie quicker anyone else',0
'schrader made resume full lousy amateurish films',0
'when i first watched movie 80s i loved it',1
'i totally fascinated music dancing everything',1
'however i recently watched whole thing dvd i completely struck extremely stupid storyline  contained holes inconsistencies  frankly  whole lot crap  horrid dancing was',0
'i mean realistic world would never gotten ballet repertory the whole thing quite pathetic',0
'the character developments also lacked depth',0
'woa talk awful',0
'do waste time',0
'it horrible',0
'the worst sappiest dialogue i could go on',0
'but really made unwatchable direction',0
'the poor actors',0
'you cant even tell talent pathetic lines speak director gave action',0
'if check directors filmography site see film chance',0
'this would even good made tv flick',0
'if good intentions made film great film might one greatest films ever made',1
'the film great actors master director significant themeat least wouldbe significant theme undertone fifties existential worldweariness aerial scenes ought thrilled senses imagination characters one might deeply care',1
'regrettably film fails',0
'the movie lacks visual interest drama expression feeling celebration patriotism underlines narrative',0
'no actress worse used june allison movie',0
'yet i enjoy watching it',1
'unfortunately bad movie plain bad',0
'bad script bad direction horrible acting make one plain bad',0
'the dialogue sucked',0
'the cinematographyif called thatsucked',0
'the soundtrack sucked',0
'the acting sucked',0
'the concert sequences sucked',0
'that nice',1
'that funny',1
'it funny',1
'overall movie cheap trash',0
'but movie funny considering ridiculousness it',0
'i came feeling angry',0
'spoilers whatever else or cant said it surface superbly crafted',1
'the cinematography simply stunning to say least fx nothing stateoftheart',1
'conceptually show offers little bit everything everybody parents kids fantasy andor fx fans',1
'and single sour note struck actingwise either surprisingly solid casting here',1
'all things considered job well done',1
'thanks good movie like done released',1
'one best mexican movies ever one less understood even mexican themselves matter identified felt it',1
'it ranks highly great noircrimedrama incredible performances belmondo lino ventura',1
'the attention given every character complex psychological portrayals detailing loyalty treachery love hope tremendous',1
'it excellent drama excellent thriller excellent film',1
'up best melville',1
'everything film simply incredible',1
'you truly take journey eyes soul child',1
'black water thriller manages completely transcend limitations its indie flick continually subverting expectations emerge intense experience',1
'the performances real gripping crocdodile extremely well done indeed black water website believed thats used real crocs swamp location fabulous',1
'i thoroughly enjoyed christopher eccleston took control tardis continuation series',1
'im sure trying film',0
'if turn good day feeling night disturbing memories i guess succeeded',0
'there lot beautiful places',1
'it forced like everything movie',0
'again lame',0
'heres movie really pied off',0
'and even get started jerky camerawork',0
'when i saw theater i thought i going sick',0
'summary the witticisms witty',0
'the plot  well i said id let one go',0
'the acting bad',0
'really bad',0
'even billy bob rise script worse',0
'camerawork  again bad',0
'rating 1 10',0
'an amazing finale possibly best trilogy time',1
'kieslowski never ceases amaze me',1
'he one favourite directors one talented directors history cinema',1
'his use colours french flag three films nothing short incredible every shot every scene like work art',1
'three visually appealing movies ive ever seen',1
'and subtle connections three films awesome',1
'i mention huge spoiler loved ending characters three films remaining survivors ferry disaster valentine young judge together old man watching tv solidifying happiness suffering dealt many years',1
'i think better way end film smile face great way wrap amazing film trilogy',1
'i recommend everyone loves film movies anythinga work art',1
'10 10 movie trilogy',1
'i literally vomited watching film',0
'i think one people found another one roths pearls',1
'performance awarded stunning',1
'story told eloquently francis ford coppola 25 years earlier really unfolds gradually leaves room characters develop',1
'in wonderful location lies story contrast',1
'all beautiful directed film nicolas roeg wih sublime cast',1
'im translating movies living first movie 5year working experience i found offensive intelligence',0
'but someone strives greatness poetry delivers muddled and often ridiculous story bunch disparate scenes pretentious dialogue then get worst kind movie reviewer accurately defined pretentious crap',0
'to find movie intelligent even masterful i say  intelligence imagination obviously used try make sense pitiful attempt its human nature try make sense things ',0
'one thing i tolerate political incorrectness well im artistic freedom suspension disbelief slavic female character much',0
'this fun funny movie',1
'highly entertaining angles',1
'it features outlandish array memorable psychotic lovable nuts',1
'so enjoyment get see run around play games dangerous',1
'it even sweet moments',1
'the telephone repair man really funny reactions nuts bitchy boss truly genuine',1
'all characters film tremendously well played',1
'and i really find funny',1
'this actually smart movie',1
'there brilliant twist ending',1
' i love it',1
'the ending so so perfect shed tear',1
'i thrilled seeing movie like this',1
'i never forget now',1
'it cult cult classic',1
'which depth character man underneath it',0
'the malta settings dry barren dialogue',0
'this movie terrible',0
'the hockey scenes terrible defensemen playing like theyre 5 years old goalies diving shots 10 feet wide net etc',0
'for seen it waste time',0
'to call movie drama ridiculous',0
'started watching believe characters',0
'in particular relationship bakery assistant waitress work all',0
'it superficial movie gave feeling i watching play rather film',0
'the characters stagey storyline lot like stage farce',0
'by time pyromaniac waylaid assistant i bored care happened next i switched off',0
'glad i pay see it',0
'didnt laugh even smile once',0
'but anything one big yawn',0
'it really good show watch',1
'it educational children 1 8 years old',1
'barney definitely super de duper',1
'pretty funny',1
'babie bop cute',1
'the kids cool too',1
' but storm trooper even bad enough make list wonderfully terrible movies',0
'its lame',0
'the guy said hes better dialogue potted plants right',0
'everything movie stupid',0
'even love bad movies watch movie',0
'it shameful',0
'i would give television series 10 plus could',1
'the writers smack on i think best actors actresses bonus showthese characters real',1
'i must say i taped episodes find watching again',1
'now know i gave 10',1
'i know exactly movie latched endearing movie become special part familys memories',1
'i totally absolutely recommend movie anyone likes good wholesome family movies exactly is',1
'the things four kids get absolutely hilarious watch',1
'this one best movies shows strong sibling bond other',1
'much interesting action suspense less unneeded controversy',1
'everything acting cinematography solid',1
'definitely worth checking out',1
'damian talented versatile many ways writing portraying different characters screen',1
'this movie cutting edge it',1
'i pleased know modern day genius  letting passion art drive taking us audience him',1
'the new characters memorable i found forgetting who',0
'i felt though going ireland absolutely nothing whatsoever',0
'it make scared horrified make sympathetic towards characters simply annoying',0
'the jerky camera movements also annoying',0
'the plot pretty much every cheap horror',0
'there pathetic attempts give characters depth really work rest plot',0
'i guess supposed clever twist shed light situation stupid',0
'if see it probably leave shelf',0
'elias koteasjack palance play good roles angelina hot gets nakedbilly drago appears cool usual  cameo sven ole thorsen helps make enjoyable movie good acting decent budget',1
'this awesome movie bought ebay',1
'i really loved story line poler bear kinda cutebut anyone question fort steele ask away',1
'this totally unfunny movie top pathetic unrealistic throughout whole 90 minutes utter torture i probably looked watch 70000 times',0
'lucy bell much higher crap sink low quite depressing',0
'all movie make sick watching slackers make excuses stupid actions 90 minutes',0
'god i never get 90 minutes back',0
'i think wonderful parts literally full wonder excerpts works',1
'the sets especially designed work camera amazingstylized beautiful effective',1
'they could used exemplars set designer',1
'the stories powerful explorations nature man art',1
'after watching film i wanted learn works artist',1
'i highly recommend movie anyone interested art poetry theater politics japanese history',1
'here the wind lion see wonderful rendering americas imperial age',1
' what makes story different terrific production values  faultless photography composition editing  terrific casting  underappreciated brian keith playing bully teddy  vivid history',1
'though the wind lion told largely eyes son every member family identify one characters whether sean connerys noble brigand candace bergens feisty heroine john hustons wily john hay steve kanalys spiffy radiant ruthless cando lieutenant roosevelts big stick',1
'this high adventure best',1
'i think robert ryans best film portrayed someone like father schizophrenic real lifemy father although never murdered anyone affected second world war made worse',1
'having humour get get day apt',1
'my mother brother thiswhen i saw robert ryan portraying type man good imitation type individual i impressed',1
'almost songs cover girl oldfashioned tuneful',0
'the annoying thing cover girl way rita hayworth put pedestal',0
'unfortunately cover girl example hollywood used exploit women financial gain',0
'nonlinear narration thus many flashbacks every part articulated quite well',1
'the good cinematography also makes monica bellucci look beautiful',1
'a good commentary todays love undoubtedly film worth seeing',1
'for people first timers film making i think excellent job',1
'it popular i cinema good house good reactions plenty laughs',1
'its feelgood film thats i felt i came cinema',1
'it northern humour positive community represents',1
'i rather enjoyed it',1
'i liked it',1
'i take seriously',0
'it really created unique feeling though',1
'vivian schilling excellent job script',1
'a world better 95 garbage theatres today',1
'her role played well',1
'not screamy masculine right',1
'the camera really likes movie',1
'i would casted role ready script',1
'as european movie nice throwback time student 1980s experiences i living abroad interacting nationalities although circumstances slightly different',1
'i fan  this movie sucked really bad',0
'even worse ticker',0
' that movie bad',0
'only like 3 4 buildings used couple locations maybe  poor hummh',0
'it blew',0
'this movie excellentangel beautiful scamp adorablehis little yelps hes scaredand funniest parts whenscamp caught curtain angel scamp singing ive never had this feeling beforei totally recommend movieits coming special edition june 20the cover scamp garbage angel underneath lid',1
'i cant explain movie romanticcharminghilariousand adorablethe junkyard scenes funnyall junkyard dogs something specialtoo funny laughedkids love itbuy comes outit new features',1
'now chosen tortured disgusting piece blatant american propaganda',0
'this show made americans  stupid full hatred clich�s admitted elsewhere',0
'almost everyone involved must return school acting utterly predictable bad script pile garbage round',0
'i wish i could enter negative values admins',0
'the sets bad look place thunderbirds episode',0
'the use slowmotion needlessly repeats throughout movie well backed bad acting and bad kind word here continuity scenes thrown reason whatsoever vehicles looked like made corn flakes box directorial style bordered stupidity',0
'oh yeah storyline pathetic too',0
'i hate writing bad reviews films  especially i really like star  film bad i believe one second anyone could proud it',0
'i filmmaker i director i would hide head sand id spent whatever amount money time movie',0
'in short  monumental waste time energy i would recommend anyone ever see film',0
'it came free dvd player i bought i still turned thing halfway i embarrassed howell',0
'110  setting 010',0
'an interesting premise billy drago always good dangerous nutbag side note id love see drago stephen mchattie lance hendrikson flick together talk raging cheekbones',1
'the soundtrack terrible either',1
'but actingeven professionals drago debbie rochonwas terrible directing worse perhaps contributory former dialog chimplike camera work barely tolerable',0
'still sets got big 10 oyvey scale',1
'yes i simplifying things sake brevity really core problems film  much going without real fulfilling explanation',0
'both good jobs quite amusing',1
'but convoluted plot convince me much film watched weird questioning glance',0
'i let girlfriend talk seeing  bad idea hated it',0
'the last 15 minutes movie also bad well',1
'bela lugosi totally extraneous intoning odd lines',0
'the acting decidely wooden though worse period universal b movie',0
'i like armand assante  cable companys summary sounded interesting i watched it twice already probably again',1
'i believe screenwriter good job tying loose ends',1
'my 810 score mostly plot',1
'i say  i like spoilers i want one i believe film worth time',1
'wow bad film',0
'not frightening least barely comprehensible',0
'the plot hang together all acting absolutely appalling',0
'not even good camp value',0
'i expecting oscar material this',0
'youd iq particularly stupid mollusk see one coming',0
'this film and i use word loosely insult moviegoing public',0
'if someone involved knew string together narrative',0
'this gets 1 10 simply theres nothing lower',0
'this one i have i watched recently fox movie channel disappointed',0
'i know contract player little control scripts acting bad script',0
'victor mclaglen even bad brian donlevy almost unrecognizable',0
'considering relations screen taylor stanwyck surprising little chemistry screen two them',0
'but premise film ridiculous president us',0
'the death row scenes entirely unmoving',0
'the thing worse taylors acting stanwycks singing',0
'whatever producer going for missed entirely',0
'i deeply impressed character played',1
'i knew i saw film great things come gifted actor',1
'a cheap cheerless heist movie poor characterisation lots underbite style stoic emoting think chow yun fat a better tomorrow cheesy clich�s thrown abandoned factory ready poorly executed flying judo rolls la john woo',0
'even squibs look awful',0
'at point proceedings look remotely like america',0
'the plot is derivative predictable ending like mercy killing',0
'the awful dialogue hopeless overacting everyone gets shot top real waste space time',0
'i uneasy bad movie was scared all',0
'the dialogue composed things make little sense',0
'about 30 minutes footage wasted show mediocre elderly actors awkwardly babbling overwrought pseudosatanic gibberish corny enough make teen goth blush almost always olde english sometimes latin may may made words',0
'the directing sloppy best',0
'hackneyed writing certainly made even worse bad directing',0
'of course acting blah',0
'the acting whole cast could put scale balanced perfectly overacting underacting',0
'and finally that get ending wouldve great handled competent people jerry falwell',0
'i loved movie great portrayal family share ups down end knew special love other',1
'i seen many movies starring jaclyn smith god one best though came 12 years ago',1
'this movie contained allstar cast i loved opened eyes see actors i seen before',1
'this movie kind long length i enjoyed every minute it',1
'overall i rate movie 10 110 scale',1
'lifetime air enough anyone knows store sells let know musthave',1
'i particularly remember senses assaulted strident cords music would blare little warning even less meaning',0
'it sort pap screened afternoon punish unemployed jobs',0
'totally different loads understatement black comedy film get see remember it',1
'this movie creates universe fascinating every way',1
'but movie really got me',1
'see it',1
'i really hope team behind movie makes movies continue own kinda weird style',1
'and i forgot the casting superb trond fausa aurv�g perfect role bothersome man understand is why',1
'this movie good humorous comment life 2006',1
'i found move beautiful enjoyable uplifting',1
'initially local sites film filmed buffalo intrigued me',1
'later i found lost power film',1
'the entire audience applauded conclusion film',1
'i left theater lilt step joy heart hope human race',1
'duris wholesome appearance gives fine performance',1
'the rest cast also play well',1
'cinematography noteworthy including fine views barcelona famed gaudi towers',1
'about ten minutes film i started second thoughts',0
'about half way film i started dislike it',0
'by time film ended i disliked it i despised it',0
'what film lacks convincing script',0
'the script looks rough draft written shooting began finished script completed',0
'things happen characters personalities change plot twists occur real reason script calls it',0
'the cast good',1
'for that worth checking out',1
'this probably irritating show i ever seen entire life',0
'it indescribably annoying idiotic show i ever seen',0
'everything bad',0
'i could understand kind idiot would produce mess first place mention several season',0
'the script bad bad � contains cheesiness unethical joke normally see rated r nc17 movie',0
'the casting also horrible cause see really really bad actors period',0
'final word this show real torture',0
'it zillion times away reality',0
'watching washing machine twirling around hurt eyes much show',0
'rating 010 grade z note the show is so bad that even mother of the cast pull her daughter out of the show',0
'20th century foxs road house 1948 quite silly noir implausible unmitigated bore movie',0
'full unconvincing cardboard characters blandly written edward chodorov also produced surprisingly directed jean negulesco one would expect great deal more',0
'from widmark character turns unintentionally comical',0
'his losing marbles early proceedings totally implausible unconvincing',0
'and enough mess movie  picture also marred constant use studio sets indoor exteriors',0
'whatever prompted documentary beyond me',0
'very serious spoilers movie huge disappointment',0
'many problems dont know start',0
'cast great',1
'steve martin delivers really funny performance middleaged upper class uptight white guy',1
'add betty white jean smart great cast  everyone played parts really well',1
'movie makes lot serious mistakes',0
'first all enough racial stereotypes racial jokes offend everyone',0
'movie littered overt racial slurs towards black cast members return whites depicted morons boobs',0
'putting race card aside lets look major flaw film destroy latifas character',0
'real plot',0
'wouldnt see movie free',0
'steamboat willie amazingly important film cinema history',1
'this second appearance mickey mouse following silent plane crazy earlier year probably famous filmmostly groundbreaking',1
'while yet hear mickey speak tons sound effects music throughout filmsomething take granted huge crowd pleaser 1928',1
'however seeing short 25 years i amazed timeless film actually is',1
'its adorable seeing mickey playing turkey straw highly imaginative if occasionally cruel way',1
'clever real crowdpleaserthis film still ranks among mickeys best films even 80 wonderful years',1
'the bipolarity ruthless thug one minute ruthless killer next minute luvs diaper commercial completely unconvincing',0
'im terribly disappointed film would receive many awards accolades especially far deserving works film there',0
'the original body soul 1947 masterpiece',1
'john garfield ann revere lilli plmer william conrad canada leeand filmed one greatest cinematographers ever grace screenjames wong howe',1
'i think redeeming qualities remake',0
'this may bad film ever made',0
'so badwellits bad',0
'this movie solid example bad plot very bad idea way',0
'its shame see good actors like thomerson james make living mess like this',0
'i thought bad',0
'both films terrible credit 1986 version watchable',0
'lets start problems�the acting especially lead professor very bad',0
'the script big flawed mess',0
'the best example dumb writing established turn zombiestudents back humans removing necklace containing piece meteorite',0
'director paul matthews also wrotedirected weak 1995 monster movie grim clearly know pace films',0
'the movie terribly boring places',0
'the lighting awful',0
'the film looks cheap bland',0
'one disappointing aspects lack notable gore',0
'this convention never worked well past certainly work here',0
'the visual effects awful',0
'the cg opening sequence space looked like could created microsoft slideshow gods sake',0
'the explosion gas tanks end awful',0
'okay i like consider fair critic ill give credit credits duethe creature effects actually pretty cool',1
'gotta love closeups slimy drooling teeth',1
'to sum film up breeders terrible cheaply made horror movie avoided like ebola virus',0
'not recommended',0
'he almost unbearable watch screen little charisma terrible comedic timing',0
'aside terrible lead film loads debits',0
'i understand supposed cheap popcorn comedy mean completely insult intelligence writing incredibly hackneyed borders offensive',0
'lewis blacks considerable talent wasted too incendiary unrestrained pg13 rating certainly allow',0
'the films sole bright spot jonah hill who look almost unrecognizable fans recent superbad due amount weight lost interim',1
'with originality freshness first movie spent remake little else offer',0
'the budget evidently limited',0
'this reflected cast also belowpar script borrowed much earlier classic',0
'however decent acting action location work balance things up',0
'filmiing less expansive',0
'it failed convey broad sweep landscapes great part original',0
'generally lacked imagination',0
'not recommended',0
'is possible movie get worse this',0
'there plot keep going first place',0
'even women finally show up sign improvement expected things happen time film over might far asleep',0
'beware trashy cult movie trash period',0
'i cant believe theres even sequel this',0
'which precisely i giving bad review',0
